iter	MultiClass
0	1.090799968
1	1.083234283
2	1.075903033
3	1.068765805
4	1.061846463
5	1.05508325
6	1.048524492
7	1.042130978
8	1.035927169
9	1.029892201
10	1.024003769
11	1.018258276
12	1.01267299
13	1.007224166
14	1.001922539
15	0.9967559962
16	0.991709968
17	0.986799264
18	0.9818503071
19	0.9771746367
20	0.9726136052
21	0.96804364
22	0.9636798089
23	0.9594323554
24	0.9552877291
25	0.9510848241
26	0.947133501
27	0.9432546666
28	0.9394845952
29	0.9358033809
30	0.9322072464
31	0.9286064952
32	0.9251104298
33	0.9216939282
34	0.9184017185
35	0.9151014146
36	0.9118107639
37	0.9085808501
38	0.9055203765
39	0.9025738821
40	0.8996417176
41	0.8967099129
42	0.8938197786
43	0.8910258163
44	0.8881831085
45	0.8854866971
46	0.8829539699
47	0.8802997087
48	0.877852301
49	0.8754784613
50	0.8730619918
51	0.8706644689
52	0.8682260549
53	0.8658499967
54	0.8634958231
55	0.8611772643
56	0.8589899526
57	0.8567923281
58	0.8546002198
59	0.8525375598
60	0.8504359274
61	0.8483729077
62	0.8463702053
63	0.8444248823
64	0.8424736235
65	0.8404703215
66	0.8385926306
67	0.8367422204
68	0.8349225085
69	0.8331010577
70	0.8314441905
71	0.8297188518
72	0.8281211028
73	0.8265606473
74	0.8249108551
75	0.8233330719
76	0.8217874859
77	0.8202313474
78	0.8186218467
79	0.817047661
80	0.815663181
81	0.8142930908
82	0.8129331934
83	0.8115289274
84	0.8102428977
85	0.8089848082
86	0.8077234211
87	0.8063477548
88	0.8049985298
89	0.8036492449
90	0.8024916443
91	0.801216347
92	0.7999257006
93	0.7986857183
94	0.7976095401
95	0.7963717762
96	0.7951953489
97	0.7939937395
98	0.7928480105
99	0.7918692033
100	0.7907435601
101	0.7897014377
102	0.7886071523
103	0.7876811078
104	0.7867671148
105	0.7858786037
106	0.7848885245
107	0.7838563551
108	0.7828540446
109	0.7820233926
110	0.7810710866
111	0.7802118349
112	0.7792628266
113	0.77848104
114	0.7776610604
115	0.7767634358
116	0.7758836185
117	0.7749935486
118	0.7742358049
119	0.7734164249
120	0.7727449002
121	0.771934274
122	0.7712259954
123	0.770556929
124	0.7698304232
125	0.7691629157
126	0.7683885638
127	0.7677707012
128	0.767088564
129	0.7663338183
130	0.7657653606
131	0.76504575
132	0.764377523
133	0.7638187186
134	0.7632651904
135	0.762747217
136	0.7620880436
137	0.7614322878
138	0.7608445838
139	0.7602122713
140	0.7596807476
141	0.7591847187
142	0.7586619487
143	0.7582548369
144	0.7575697618
145	0.757114624
146	0.7565411899
147	0.7561029601
148	0.7555102196
149	0.7551036474
150	0.7545818968
151	0.7538956225
152	0.7534362277
153	0.7529608842
154	0.7525600679
155	0.7520643388
156	0.7516650814
157	0.751195134
158	0.7508045705
159	0.7502903745
160	0.7499240937
161	0.7494784292
162	0.7490171757
163	0.7485781065
164	0.7481192513
165	0.7476773641
166	0.7473401627
167	0.7469595522
168	0.7465532198
169	0.7462320271
170	0.745799913
171	0.745391662
172	0.7450345547
173	0.7447636665
174	0.7443552356
175	0.7440086209
176	0.7435237442
177	0.7431285639
178	0.7428494614
179	0.7425057847
180	0.7422148107
181	0.7418359988
182	0.7414766132
183	0.741233845
184	0.7409018001
185	0.7406249161
186	0.7403303446
187	0.7399865479
188	0.739722255
189	0.7393820558
190	0.7390909019
191	0.738799748
192	0.7385485258
193	0.7382589308
194	0.7380077686
195	0.7376579762
196	0.7373915847
197	0.7371954636
198	0.7368899198
199	0.7365918708
200	0.7363543789
201	0.7360849896
202	0.7358966029
203	0.7356732011
204	0.7354300732
205	0.7352374295
206	0.735048863
207	0.7348315768
208	0.7346227446
209	0.734376379
210	0.7339819182
211	0.7337622937
212	0.733475097
213	0.7330133638
214	0.7327747927
215	0.7325598448
216	0.7323944219
217	0.7319823936
218	0.7317525763
219	0.7314070408
220	0.7312096606
221	0.7310381819
222	0.7308144803
223	0.7306194983
224	0.7302499799
225	0.730040728
226	0.729787827
227	0.7295930848
228	0.7292732113
229	0.7289204809
230	0.7286149972
231	0.728301659
232	0.7281438507
233	0.7279815455
234	0.7277595827
235	0.7275719755
236	0.7273108003
237	0.7271404009
238	0.7269542327
239	0.7267653064
240	0.7265442429
241	0.7263807387
242	0.7261816196
243	0.7260334645
244	0.7257526233
245	0.7255769476
246	0.7253077382
247	0.725023959
248	0.7248927119
249	0.7245777549
250	0.7244085546
251	0.7242425322
252	0.7239130054
253	0.7237685677
254	0.7234690796
255	0.723324522
256	0.7231528635
257	0.7229807853
258	0.7228409043
259	0.7226799782
260	0.7225221699
261	0.7223867857
262	0.7222193842
263	0.7220761456
264	0.7219420206
265	0.721663098
266	0.721387593
267	0.7212206112
268	0.7210664603
269	0.7208519921
270	0.7207168478
271	0.7205954337
272	0.7203870213
273	0.720267346
274	0.7201398762
275	0.7199161745
276	0.7197255095
277	0.719618845
278	0.7193615671
279	0.7192369153
280	0.7190253251
281	0.7188998939
282	0.7187559358
283	0.7185496218
284	0.7183937921
285	0.7182677014
286	0.7181162486
287	0.7180356057
288	0.7178869709
289	0.7176941474
290	0.7175133154
291	0.7173277467
292	0.7171590262
293	0.7170388712
294	0.7168171481
295	0.7166871002
296	0.7164864223
297	0.7163524771
298	0.7162530075
299	0.7161155248
300	0.7159995069
301	0.7157954713
302	0.7156760958
303	0.7155831017
304	0.7153330786
305	0.7152260544
306	0.7151100965
307	0.7148989259
308	0.7147496916
309	0.714648783
310	0.7145182554
311	0.714391625
312	0.7142886779
313	0.7141862704
314	0.7140290617
315	0.713866157
316	0.7137052309
317	0.7135470029
