iter	Passed	Remaining
0	14	368842
1	27	337626
2	39	326413
3	51	320622
4	63	315816
5	75	312781
6	86	310464
7	98	308775
8	110	307808
9	122	307023
10	134	306254
11	146	305176
12	158	304865
13	170	303904
14	182	303330
15	194	303217
16	206	303458
17	220	305467
18	232	305257
19	244	305478
20	257	305754
21	269	305621
22	281	305193
23	292	304868
24	304	304678
25	317	304534
26	329	304309
27	341	304184
28	353	304349
29	365	304108
30	377	303873
31	390	304849
32	404	306386
33	418	307474
34	432	308632
35	445	309166
36	459	309788
37	472	310451
38	486	311081
39	499	311765
40	513	312375
41	526	313021
42	540	313461
43	553	314017
44	567	314496
45	580	314955
46	592	314535
47	604	314401
48	617	314586
49	629	314354
50	641	313900
51	653	313601
52	665	313307
53	677	312891
54	688	312429
55	700	311998
56	712	311766
57	723	311242
58	735	310878
59	747	310653
60	759	310441
61	770	310063
62	782	309700
63	794	309461
64	806	309376
65	818	309394
66	831	309347
67	843	309098
68	854	308901
69	866	308758
70	878	308548
71	890	308399
72	902	308335
73	914	308136
74	926	307984
75	938	307829
76	950	307715
77	962	307601
78	974	307376
79	985	307124
80	997	306952
81	1009	306889
82	1022	307026
83	1034	306911
84	1047	307082
85	1060	307202
86	1073	307280
87	1085	307180
88	1096	307037
89	1108	306854
90	1120	306784
91	1132	306654
92	1144	306515
93	1155	306236
94	1167	306070
95	1179	305948
96	1191	305810
97	1203	305839
98	1215	305766
99	1227	305763
100	1240	305840
101	1253	305994
102	1266	306063
103	1278	306166
104	1291	306300
105	1304	306365
106	1317	306467
107	1329	306505
108	1342	306510
109	1354	306457
110	1365	306259
111	1377	306122
112	1389	306042
113	1404	306526
114	1418	306885
115	1431	307129
116	1445	307405
117	1459	307659
118	1471	307760
119	1485	307981
120	1499	308223
121	1512	308369
122	1525	308570
123	1539	308788
124	1552	308986
125	1565	309109
126	1578	309219
127	1592	309417
128	1605	309545
129	1620	309929
130	1633	310173
131	1647	310380
132	1660	310539
133	1674	310721
134	1687	310869
135	1701	311031
136	1714	311197
137	1728	311404
138	1741	311527
139	1755	311675
140	1768	311807
141	1781	311838
142	1794	311939
143	1807	312040
144	1821	312291
145	1836	312592
146	1849	312757
147	1862	312774
148	1875	312878
149	1889	312979
150	1902	313102
151	1916	313247
152	1929	313355
153	1940	313125
154	1952	312941
155	1963	312776
156	1975	312617
157	1986	312392
158	1999	312333
159	2011	312269
160	2023	312198
161	2035	312080
162	2047	311952
163	2058	311803
164	2070	311714
165	2082	311545
166	2094	311402
167	2105	311269
168	2117	311117
169	2129	310988
170	2140	310856
171	2152	310754
172	2164	310645
173	2176	310562
174	2188	310437
175	2200	310371
176	2213	310398
177	2226	310516
178	2240	310624
179	2253	310753
180	2266	310843
181	2280	310917
182	2293	311061
183	2307	311255
184	2321	311388
185	2333	311309
186	2346	311420
187	2360	311524
188	2374	311665
189	2388	311875
190	2401	311987
191	2414	311949
192	2426	311922
193	2438	311790
194	2450	311754
195	2463	311702
196	2474	311504
197	2486	311445
198	2498	311361
199	2510	311303
200	2522	311221
201	2534	311132
202	2546	311039
203	2558	310986
204	2570	310853
205	2582	310808
206	2594	310803
207	2606	310688
208	2619	310726
209	2631	310642
210	2643	310589
211	2655	310462
212	2667	310364
213	2679	310368
214	2691	310326
215	2703	310153
216	2714	310052
217	2725	309844
218	2737	309723
219	2748	309625
220	2760	309483
221	2772	309437
222	2784	309346
223	2796	309317
224	2808	309249
225	2820	309198
226	2833	309178
227	2845	309167
228	2857	309075
229	2869	309023
230	2881	308933
231	2893	308858
232	2904	308755
233	2916	308666
234	2928	308573
235	2939	308450
236	2951	308396
237	2963	308334
238	2975	308298
239	2987	308229
240	3000	308215
241	3011	308086
242	3022	307919
